ts,app_cpu_pct,app_mem_mb,mysql_cpu_pct,mysql_mem_mb,redis_cpu_pct,redis_mem_mb,load1,host_mem_used_mb,db_threads_connected,db_threads_running,db_slow_queries,db_questions,redis_clients,redis_usedmem_mb
1787472238,83.07,116.7,7.83,102.8,2.15,10.5,0.38,5941,1,2,0,33378,7,1.4
1787472242,85.57,117,8.09,104,2.41,10.44,0.43,5861,2,2,0,34366,6,1.4
1787472246,84.28,117.1,9.09,103.8,2.15,10.18,0.47,5868,1,2,0,35439,6,1.4
1787472251,85.15,117.3,7.91,105.3,2.18,9.746,0.52,5883,2,2,0,36422,6,1.4
1787472255,88.08,117.2,11.84,105,2.23,9.77,0.52,5871,2,2,0,37491,5,1.4
1787472259,87.37,117.8,8.12,104.9,2.28,9.707,0.71,5869,1,2,0,38540,6,1.4
1787472264,85.77,117.4,7.66,105,2.31,10.25,0.82,5857,1,2,0,39505,5,1.4
1787472268,86.06,117.7,7.85,104.5,2.31,9.973,0.91,5883,1,2,0,40497,5,1.4
1787472272,86.83,117.7,6.56,104.8,2.27,10.7,0.92,5867,1,2,0,41470,5,1.4
1787472277,90.22,117.6,11.69,104.8,2.45,10.16,1.09,5859,2,2,0,42450,6,1.4
1787472281,88.38,117.6,8.87,105,2.44,10.01,1.08,5872,2,3,0,43480,6,1.4
1787472285,86.55,118.1,13.41,105.1,2.43,9.977,1.31,5880,2,2,0,44596,6,1.4
1787472290,87.08,117.8,8.77,105.3,2.55,10.64,1.31,5875,2,2,0,45663,5,1.4
1787472294,88.58,117.9,8.79,105.5,2.55,9.863,1.29,5888,2,2,0,46717,5,1.4
1787472298,140.27,118.1,7.76,105.7,2.28,10.25,1.26,5868,2,2,0,47750,5,1.4
1787472303,87.13,118.5,8.23,105.3,2.29,10.05,1.24,5882,1,2,0,48766,5,1.4
