ts,app_cpu_pct,app_mem_mb,mysql_cpu_pct,mysql_mem_mb,redis_cpu_pct,redis_mem_mb,load1,host_mem_used_mb,db_threads_connected,db_threads_running,db_slow_queries,db_questions,redis_clients,redis_usedmem_mb
1787473626,84.49,118.7,8.43,107.6,2.25,9.734,1.22,5910,1,2,0,294817,6,1.4
1787473631,86.42,118.7,8.92,107.8,2.46,10.7,1.28,5906,1,2,0,295887,6,1.4
1787473635,89.52,118.9,6.56,107.9,2.59,10.05,1.28,5914,2,2,0,296886,6,1.4
1787473639,88.50,119.1,8.82,108.2,2.41,10.22,1.42,5910,1,2,0,297897,6,1.4
1787473644,87.28,118.8,11.28,108.1,2.44,10.42,1.47,5933,1,2,0,298968,5,1.4
1787473648,87.47,118.7,9.18,107.9,2.16,9.746,1.51,5925,1,2,0,300077,5,1.4
1787473653,87.33,119,11.65,108.5,2.15,9.969,1.47,5915,2,2,0,301178,6,1.4
1787473657,89.64,118.7,8.10,108,2.18,10.01,1.43,5916,1,2,0,302173,6,1.4
1787473661,87.31,118.8,8.39,107.9,2.48,10.46,1.40,5918,1,2,0,303235,6,1.4
1787473666,86.52,119.3,8.64,107.9,2.42,10.22,1.36,5907,1,2,0,304264,6,1.4
1787473670,87.61,118.7,8.10,107.8,2.28,9.93,1.36,5929,2,2,0,305319,6,1.4
1787473674,88.34,118.9,8.12,108,2.40,10.4,1.42,5910,1,2,0,306317,6,1.4
1787473679,102.83,146.4,8.60,108.4,2.40,10.42,1.46,5908,2,2,0,307383,6,1.4
1787473683,87.43,119,11.52,108.2,2.34,10.5,1.43,5915,1,2,0,308392,6,1.4
1787473687,88.39,119.3,8.29,108.3,2.35,10.42,1.47,5922,1,2,0,309428,6,1.4
1787473692,88.65,119.2,7.10,108.2,2.41,10.22,1.43,5921,1,2,0,310381,6,1.4
1787473696,89.02,119.4,7.81,107.7,2.38,10.01,1.56,5916,1,2,0,311383,5,1.4
1787473700,88.37,119.3,7.55,107.5,2.18,9.719,1.60,5930,1,2,0,312384,6,1.4
1787473705,88.66,119.3,7.96,108.1,2.02,10.41,1.60,5932,1,2,0,313397,5,1.4
1787473709,88.98,119.7,7.12,107.9,2.13,10.43,1.71,5932,1,2,0,314428,6,1.4
1787473713,88.41,119.1,11.60,108,2.10,10.14,1.65,5940,2,2,0,315533,6,1.4
