ts,app_cpu_pct,app_mem_mb,mysql_cpu_pct,mysql_mem_mb,redis_cpu_pct,redis_mem_mb,load1,host_mem_used_mb,db_threads_connected,db_threads_running,db_slow_queries,db_questions,redis_clients,redis_usedmem_mb
1787473081,84.91,117.8,7.72,107.3,2.05,10.43,1.10,5915,2,2,0,200915,5,1.4
1787473085,89.75,117,8.89,107.9,2.37,10.2,1.17,5903,1,2,0,201928,5,1.4
1787473090,88.94,117.3,12.28,107.5,2.21,9.777,1.17,5901,2,2,0,202962,6,1.4
1787473094,87.94,117.2,7.80,107.9,2.27,10.29,1.32,5889,1,2,0,203974,6,1.4
1787473098,89.55,117.4,7.59,107.5,2.42,10.46,1.37,5897,1,2,0,204964,6,1.4
1787473103,88.10,116.8,8.19,107.7,2.52,10.55,1.42,5882,2,2,0,205946,6,1.4
1787473107,86.44,117.1,8.03,107.6,2.32,10.07,1.39,5884,1,2,0,207015,6,1.4
1787473111,87.68,117.7,8.21,107.4,2.60,10.51,1.36,5884,1,2,0,208052,6,1.4
1787473116,87.73,117.9,8.78,107.8,2.23,9.699,1.33,5896,1,2,0,209098,5,1.4
1787473120,88.46,117.7,11.72,107.8,2.30,10.41,1.33,5896,2,2,0,210134,6,1.4
1787473125,87.57,117.6,8.69,108.1,2.37,10.41,1.46,5891,2,2,0,211200,6,1.4
1787473129,87.45,118.2,7.67,107.9,2.17,10.19,1.43,5895,1,2,0,212257,5,1.4
1787473133,87.27,118.3,8.85,107.3,2.48,10.52,1.39,5897,1,2,0,213352,6,1.4
1787473138,89.74,123.5,8.33,107.3,2.25,10.52,1.36,5916,1,2,0,214366,7,1.4
1787473142,88.32,118,7.97,108.1,2.33,9.809,1.33,5909,2,2,0,215374,6,1.4
1787473146,87.48,118,7.65,107.7,2.54,10.46,1.38,5904,1,2,0,216405,6,1.4
1787473151,88.79,118.4,7.72,107.7,2.37,10.51,1.67,5898,1,2,0,217440,5,1.4
1787473155,87.98,118.7,7.99,107.4,2.36,10.28,1.67,5907,1,2,0,218500,6,1.4
1787473159,87.68,117.9,9.07,107.8,2.38,10.27,1.94,5918,1,2,0,219552,6,1.4
1787473164,87.39,118,8.35,108.1,2.12,10.41,1.95,5909,1,2,0,220571,6,1.4
1787473168,88.34,118.2,8.21,107.6,1.78,10.5,1.95,5903,1,2,0,221653,5,1.4
1787473172,89.06,118.3,7.64,107.8,2.11,9.516,1.87,5914,1,2,0,222709,5,1.4
1787473177,87.52,118.3,8.48,107.1,2.05,10.14,1.80,5907,1,2,0,223721,6,1.4
1787473181,87.65,118.3,11.61,107.8,1.93,9.957,1.74,5911,2,2,0,224754,6,1.4
1787473186,89.28,118.1,7.43,107.5,2.08,10.67,1.76,5906,2,2,0,225809,6,1.4
1787473190,88.55,118.6,12.69,107.8,2.03,10.46,1.76,5902,1,2,0,226891,6,1.4
1787473194,89.42,118.1,7.70,107.7,2.22,10.01,1.94,5912,1,2,0,227924,6,1.4
1787473199,128.68,118.8,8.08,107.6,2.04,9.969,1.86,5909,2,3,0,228913,5,1.4
1787473203,89.22,118.5,7.06,107.4,2.42,10.16,1.79,5905,2,2,0,229678,5,1.4
1787473206,89.84,118.4,7.44,107.8,2.13,10.42,1.81,5911,1,2,0,230706,6,1.4
1787473211,87.09,118.6,8.34,107.9,1.86,9.484,1.91,5892,2,2,0,231755,6,1.4
1787473215,90.03,118.5,8.51,108,1.91,10.42,1.91,5904,1,2,0,232813,6,1.4
1787473220,87.83,118.4,7.67,107.7,2.04,9.941,2.23,5901,1,2,0,233824,6,1.4
1787473224,88.72,118.6,8.39,107.8,2.21,10.15,2.14,5919,1,2,0,234914,5,1.4
1787473228,88.66,118.9,7.52,107.4,2.08,10.22,2.28,5912,1,2,0,235946,5,1.4
1787473233,87.76,119,7.59,107.3,1.99,10.19,2.18,5897,1,2,0,236962,6,1.4
1787473237,89.00,118.8,7.63,108.1,2.36,10.28,2.17,5913,1,2,0,238022,5,1.4
