ts,app_cpu_pct,app_mem_mb,mysql_cpu_pct,mysql_mem_mb,redis_cpu_pct,redis_mem_mb,load1,host_mem_used_mb,db_threads_connected,db_threads_running,db_slow_queries,db_questions,redis_clients,redis_usedmem_mb
1787472710,79.63,116.1,6.85,107,2.52,10.37,1.13,5946,1,2,0,122155,6,1.4
1787472715,88.28,116.6,8.47,107.2,2.14,10.21,1.13,5918,1,2,0,123195,5,1.4
1787472719,93.75,115.9,8.32,107.4,2.45,9.945,1.36,5864,1,2,0,124221,5,1.4
1787472723,88.43,116,8.71,107,2.41,10.04,1.66,5871,2,2,0,125265,5,1.4
1787472728,88.74,116.5,11.46,107.7,2.28,10.35,2.40,5869,1,2,0,126266,6,1.4
1787472732,88.94,116.4,8.14,107.3,2.33,10.68,2.37,5904,2,2,0,127267,6,1.4
1787472736,87.90,116.8,8.02,107.1,2.41,10.06,2.26,5880,1,2,0,128284,5,1.4
1787472741,87.64,117,8.60,107.2,2.29,9.949,2.24,5879,2,2,0,129310,6,1.4
1787472745,86.62,116.7,8.77,107.4,2.60,10.6,2.14,5878,1,2,0,130296,5,1.4
1787472750,87.91,116.9,8.81,106.9,2.26,9.98,2.14,5878,1,2,0,131359,5,1.4
1787472754,87.41,116.9,8.32,107.4,2.40,10.19,2.21,5887,1,2,0,132383,6,1.4
1787472758,89.37,117,9.66,107.1,2.36,9.457,2.11,5891,1,2,0,133377,6,1.4
1787472763,89.14,117.3,7.86,107.3,2.52,10.23,2.18,5876,2,3,0,134426,5,1.4
1787472767,88.73,117.2,7.65,107.4,2.42,9.5,2.09,5889,1,2,0,135445,5,1.4
1787472771,87.81,117.6,7.50,107.3,2.32,10.48,2.08,5893,1,2,0,136525,5,1.4
1787472776,87.52,117.4,9.23,107.7,2.20,10.02,2.23,5890,1,2,0,137585,6,1.4
1787472780,89.65,117.9,6.75,107.6,2.34,10.46,2.23,5889,2,2,0,138572,6,1.4
1787472784,88.44,117.8,7.30,107.5,2.45,10.29,2.30,5901,1,2,0,139545,6,1.4
1787472789,87.23,116.8,7.07,107.3,2.54,10.49,2.27,5891,1,2,0,140535,6,1.4
1787472793,89.32,117.3,7.81,107.4,2.66,9.812,2.25,5900,1,2,0,141515,5,1.4
1787472797,86.93,117.6,8.32,107.2,2.47,10.21,2.15,5889,1,2,0,142562,6,1.4
